index,unique_id,ds,AutoARIMA,AutoARIMA/BottomUp
0,Aurora,2027-01-01,7.809198,461.1607667207718
1,Aurora,2027-02-01,7.9517016,460.8087453842163
2,Aurora,2027-03-01,7.651746,461.0933576822281
3,Aurora,2027-04-01,7.6327376,460.95428681373596
4,Aurora,2027-05-01,7.6009636,461.03073990345
5,Aurora,2027-06-01,7.595576,460.99163579940796
6,Aurora,2027-07-01,7.591838,461.0135556459427
7,Aurora,2027-08-01,7.5908923,461.00055027008057
8,Aurora,2027-09-01,7.590418,461.00687873363495
9,Aurora,2027-10-01,7.590272,461.0030733346939
10,Aurora,2027-11-01,7.590209,461.0041934251785
11,Aurora,2027-12-01,7.5901875,461.0035215616226
12,Austin,2027-01-01,9.571606,465.0017510652542
13,Austin,2027-02-01,9.438649,465.12566685676575
14,Austin,2027-03-01,9.786671,465.12566685676575
15,Austin,2027-04-01,9.526133,465.12566685676575
16,Austin,2027-05-01,9.575384,465.125665307045
17,Austin,2027-06-01,9.467691,465.1224274635315
18,Austin,2027-07-01,9.57407,465.125665307045
19,Austin,2027-08-01,9.832714,465.125665307045
20,Austin,2027-09-01,9.700757,465.3073046207428
21,Austin,2027-10-01,9.614603,465.125665307045
22,Austin,2027-11-01,10.06186,465.125665307045
23,Austin,2027-12-01,9.868239,465.1254816055298
24,Greenville,2027-01-01,8.081858,464.29863798618317
25,Greenville,2027-02-01,7.7271376,464.09863793849945
26,Greenville,2027-03-01,7.8255124,464.09863805770874
27,Greenville,2027-04-01,8.013013,464.09863805770874
28,Greenville,2027-05-01,8.016629,464.09863805770874
29,Greenville,2027-06-01,7.9735956,464.09863805770874
30,Greenville,2027-07-01,8.066624,464.09863805770874
31,Greenville,2027-08-01,7.9311132,464.09863805770874
32,Greenville,2027-09-01,7.8408294,464.09863805770874
33,Greenville,2027-10-01,8.115095,464.09863805770874
34,Greenville,2027-11-01,7.933151,464.09863805770874
35,Greenville,2027-12-01,7.842276,464.09863805770874
36,Janesville,2027-01-01,8.40791,466.333340883255
37,Janesville,2027-02-01,8.660219,465.6571136713028
38,Janesville,2027-03-01,8.272438,466.714861035347
39,Janesville,2027-04-01,9.240374,466.83085310459137
40,Janesville,2027-05-01,9.052469,465.9011633992195
41,Janesville,2027-06-01,9.660488,466.66184628009796
42,Janesville,2027-07-01,8.965849,465.9331758618355
43,Janesville,2027-08-01,8.827812,465.5902513861656
44,Janesville,2027-09-01,9.320879,466.90980219841003
45,Janesville,2027-10-01,8.973314,465.5041345357895
46,Janesville,2027-11-01,9.035271,466.2067085504532
47,Janesville,2027-12-01,8.625359,466.70127868652344
48,Middletown,2027-01-01,8.306974,459.0526871085167
49,Middletown,2027-02-01,8.824919,459.0526871085167
50,Middletown,2027-03-01,8.231831,459.0526871085167
51,Middletown,2027-04-01,8.40111,459.0526871085167
52,Middletown,2027-05-01,7.740122,459.0526871085167
53,Middletown,2027-06-01,8.3144,459.0526871085167
54,Middletown,2027-07-01,7.808898,460.0997459888458
55,Middletown,2027-08-01,7.7428675,459.0526871085167
56,Middletown,2027-09-01,8.15454,459.0526871085167
57,Middletown,2027-10-01,7.667792,459.05268716812134
58,Middletown,2027-11-01,7.707398,459.05268716812134
59,Middletown,2027-12-01,8.35718,459.05268716812134
60,Pasco,2027-01-01,8.321823,462.7133022546768
61,Pasco,2027-02-01,8.366102,462.5560328364372
62,Pasco,2027-03-01,8.308374,462.7229231595993
63,Pasco,2027-04-01,8.308489,462.7229231595993
64,Pasco,2027-05-01,8.303331,462.7229231595993
65,Pasco,2027-06-01,8.302998,462.7229231595993
66,Pasco,2027-07-01,8.302514,462.7229231595993
67,Pasco,2027-08-01,8.302452,462.87012362480164
68,Pasco,2027-09-01,8.302405,462.7229231595993
69,Pasco,2027-10-01,8.302396,462.7229231595993
70,Pasco,2027-11-01,8.302391,462.7262612581253
71,Pasco,2027-12-01,8.30239,462.7262612581253
72,Scottsdale,2027-01-01,8.075605,463.81825280189514
73,Scottsdale,2027-02-01,8.049811,463.8059450984001
74,Scottsdale,2027-03-01,7.9566956,463.8196973800659
75,Scottsdale,2027-04-01,8.141958,463.8332597017288
76,Scottsdale,2027-05-01,8.141958,463.84300208091736
77,Scottsdale,2027-06-01,8.141958,463.8508116006851
78,Scottsdale,2027-07-01,8.141958,463.8570718765259
79,Scottsdale,2027-08-01,8.141958,463.8620902299881
80,Scottsdale,2027-09-01,8.141958,463.82855343818665
81,Scottsdale,2027-10-01,8.141958,463.8693400621414
82,Scottsdale,2027-11-01,8.141958,463.8777940273285
83,Scottsdale,2027-12-01,8.141958,464.873997092247
84,Acura,2027-01-01,2.0618217,63.49183928966522
85,Acura,2027-02-01,2.0522833,63.49183928966522
86,Acura,2027-03-01,2.0430627,63.49043035507202
87,Acura,2027-04-01,2.0341494,63.49183928966522
88,Acura,2027-05-01,2.025533,63.49183928966522
89,Acura,2027-06-01,2.0172038,63.49183928966522
90,Acura,2027-07-01,2.0091522,63.49183928966522
91,Acura,2027-08-01,2.001369,63.49183928966522
92,Acura,2027-09-01,1.993845,63.45427978038788
93,Acura,2027-10-01,1.9865718,63.4918417930603
94,Acura,2027-11-01,1.979541,63.497710824012756
95,Acura,2027-12-01,1.9727445,63.4918417930603
96,Audi,2027-01-01,1.5111266,63.607842445373535
97,Audi,2027-02-01,1.6567116,63.607842445373535
98,Audi,2027-03-01,2.0128205,63.607842445373535
99,Audi,2027-04-01,1.5494775,63.607842445373535
100,Audi,2027-05-01,1.4760438,63.607842445373535
101,Audi,2027-06-01,1.4752917,63.607842445373535
102,Audi,2027-07-01,1.4603341,63.607842445373535
103,Audi,2027-08-01,1.5660073,63.607842445373535
104,Audi,2027-09-01,1.5660067,63.607842445373535
105,Audi,2027-10-01,1.5577728,63.607842445373535
106,Audi,2027-11-01,1.4438155,63.607842445373535
107,Audi,2027-12-01,1.4759767,63.607842445373535
108,BMW,2027-01-01,2.2337115,63.75164806842804
109,BMW,2027-02-01,2.2122579,63.85592603683472
110,BMW,2027-03-01,2.1922798,63.85592603683472
111,BMW,2027-04-01,2.173676,63.85592603683472
112,BMW,2027-05-01,2.1563518,63.85592603683472
113,BMW,2027-06-01,2.1402192,63.85592603683472
114,BMW,2027-07-01,2.1251962,63.85592603683472
115,BMW,2027-08-01,2.1112068,63.85592603683472
116,BMW,2027-09-01,2.0981793,63.85592603683472
117,BMW,2027-10-01,2.0860481,63.85592603683472
118,BMW,2027-11-01,2.0747511,63.85592603683472
119,BMW,2027-12-01,2.0642314,63.85592603683472
120,Buick,2027-01-01,1.5308475,83.35797894001007
121,Buick,2027-02-01,1.63771,83.35797894001007
122,Buick,2027-03-01,1.5305228,83.35797894001007
123,Buick,2027-04-01,1.4667431,83.35797894001007
124,Buick,2027-05-01,1.4754943,83.35797894001007
125,Buick,2027-06-01,1.4756609,83.35797894001007
126,Buick,2027-07-01,1.5828567,83.35797894001007
127,Buick,2027-08-01,1.4694386,83.35797894001007
128,Buick,2027-09-01,1.5305234,83.35797894001007
129,Buick,2027-10-01,1.530523,83.35797894001007
130,Buick,2027-11-01,1.5306896,83.35797894001007
131,Buick,2027-12-01,1.5856906,83.35797894001007
132,Cadillac,2027-01-01,1.7355894,104.92469835281372
